Name;Type;Attack 1
Charged Shot (Lv 1);Shot;7
Charged Shot (Lv 2);Shot;20
Charged Shot (Lv 3);Shot;33
Charged Shot (Lv 4);Shot;36
Power Shot (Lv 1);Shot;18
Power Shot (Lv 2);Shot;27
Power Shot (Lv 3);Shot;55
Power Shot (Lv 4);Shot;78
Arc Shot (Lv 1);Shot;6
Arc Shot (Lv 2);Shot;16
Arc Shot (Lv 3);Shot;28
Arc Shot (Lv 4);Shot;28
Dragon Piercer (Lv 1);Shot;190
Dragon Piercer (Lv 2);Shot;200
Dragon Piercer (Lv 3);Shot;230
Quick Shot;Shot;18
Lunging Melee Attack;Sever;35
Wall Climb Power Shot;Sever;35
Jumping Melee Attack;Sever;10
Mid-air Charged Shot (Lv 1);Shot;7
Mid-air Charged Shot (Lv 2);Shot;20
Mid-air Charged Shot (Lv 3);Shot;33
