Name;Type;Attack 1;Attack 2;Attack 3
Mid Thrust I;Sever;20
Mid Thrust II;Sever;20
Mid Thrust III;Sever;27
High Thrust I;Sever;22
High Thrust II;Sever;22
High Thrust III;Sever;27
Wide Sweep I;Sever;20
Wide Sweep II;Sever;20
Wide Sweep III;Sever;20
Counter Thrust;Sever;40
Cancel Thrust;Sever;22
Guard Thrust;Sever;20
Dash Attack;Sever;11
Mid-Air Dash Attack;Sever;25
Reverse Attack;Sever;50
Advancing Jump Thrust;Sever;50
Finishing Thrust;Sever;50
Finishing Twin Thrust;Sever;25;50
Shield Attack;Sever;14
Leaping Thrust;Sever;8;3;3
Jumping Thrust;Sever;30
